seed,task,rows,geometry_family,topology_family,actual_attachment_f1,oracle_attachment_f1,actual_safe_recall,oracle_safe_recall,actual_attachment_pairs,oracle_attachment_pairs,pair_expansion
1,S04_3d_unicyclic_small_C07__c1_mixed.zarr,1134,c1_mixed.zarr,S04_3d_unicyclic_small,0.02001372088501943,0.20520425583280164,0.0,0.0,2246440,182608,12.301980198019802
1,S04_3d_unicyclic_small_C07__ellipse.zarr,1134,ellipse.zarr,S04_3d_unicyclic_small,0.25020755500207553,0.4125455013420598,0.0,0.0,2247152,194632,11.545645114883472
1,S04_3d_unicyclic_small_C07__rounded_rectangle.zarr,1134,rounded_rectangle.zarr,S04_3d_unicyclic_small,0.020557719555733867,0.1960507324263735,0.0,0.0,2245464,174356,12.87861616462869
1,S05_flat_branch_medium_C07__c1_mixed.zarr,2068,c1_mixed.zarr,S05_flat_branch_medium,0.015616172886631237,0.21756324444287048,0.0,0.0,4096068,258488,15.846259787688403
1,S05_flat_branch_medium_C07__ellipse.zarr,2068,ellipse.zarr,S05_flat_branch_medium,0.26265969418150525,0.47902840099954325,0.0,0.0,4095932,273452,14.978614162631834
1,S05_flat_branch_medium_C07__rounded_rectangle.zarr,2068,rounded_rectangle.zarr,S05_flat_branch_medium,0.01872925009906094,0.2114076173375015,0.0,0.00013154433043935807,4094268,248528,16.474071332002833
1,S06_3d_branch_medium_C07__c1_mixed.zarr,1676,c1_mixed.zarr,S06_3d_branch_medium,0.019012187949379627,0.20411731281961623,0.0,0.0,3317208,273412,12.13263499773236
1,S06_3d_branch_medium_C07__ellipse.zarr,1676,ellipse.zarr,S06_3d_branch_medium,0.24617917606213538,0.4167912720828488,0.0,0.0,3317460,280220,11.838769538219971
1,S06_3d_branch_medium_C07__rounded_rectangle.zarr,1676,rounded_rectangle.zarr,S06_3d_branch_medium,0.02147945772687446,0.19208431684690125,0.0,0.0,3315204,267456,12.395324838478105
1,S07_flat_loop_rich_C07__c1_mixed.zarr,2678,c1_mixed.zarr,S07_flat_loop_rich,0.019620745009728123,0.19675684758864057,0.0,0.0,5303864,461520,11.49216501993413
1,S07_flat_loop_rich_C07__ellipse.zarr,2678,ellipse.zarr,S07_flat_loop_rich,0.20779816513761468,0.3675448822569363,0.0,0.0,5303456,485940,10.913808289089188
1,S07_flat_loop_rich_C07__rounded_rectangle.zarr,2678,rounded_rectangle.zarr,S07_flat_loop_rich,0.02144642363671618,0.19151017746011903,0.0,0.0,5300956,444388,11.928665940574453
1,S08_3d_loop_rich_C07__c1_mixed.zarr,3458,c1_mixed.zarr,S08_3d_loop_rich,0.013307625577010866,0.2422413538061004,0.0,0.0,6848928,327428,20.917355876711827
1,S08_3d_loop_rich_C07__ellipse.zarr,3458,ellipse.zarr,S08_3d_loop_rich,0.22902145378835884,0.5007712629208702,0.0,0.0,6849648,342924,19.974245022220668
