seed,task,rows,topology_family,geometry_family,deployed_exact_attachment_f1,proposal_oracle_exact_attachment_f1
2,S02_3d_tree_small_C07__c1_mixed.zarr,922,S02_3d_tree_small,c1_mixed.zarr,0.11267257366577375,0.21566889404063821
2,S02_3d_tree_small_C07__ellipse.zarr,922,S02_3d_tree_small,ellipse.zarr,0.07604938271604939,0.22848980336139563
2,S02_3d_tree_small_C07__rounded_rectangle.zarr,922,S02_3d_tree_small,rounded_rectangle.zarr,0.03155240958014157,0.17824422853778077
2,S03_flat_unicyclic_small_C07__c1_mixed.zarr,906,S03_flat_unicyclic_small,c1_mixed.zarr,0.1323701802743719,0.2025748900768671
2,S03_flat_unicyclic_small_C07__ellipse.zarr,906,S03_flat_unicyclic_small,ellipse.zarr,0.061798970468707665,0.18138881537427984
2,S03_flat_unicyclic_small_C07__rounded_rectangle.zarr,906,S03_flat_unicyclic_small,rounded_rectangle.zarr,0.031272569354298146,0.15013872600898143
2,S04_3d_unicyclic_small_C07__c1_mixed.zarr,1134,S04_3d_unicyclic_small,c1_mixed.zarr,0.1342804453247729,0.22805049088359047
2,S04_3d_unicyclic_small_C07__ellipse.zarr,1134,S04_3d_unicyclic_small,ellipse.zarr,0.07134585692228512,0.2492362895795956
2,S04_3d_unicyclic_small_C07__rounded_rectangle.zarr,1134,S04_3d_unicyclic_small,rounded_rectangle.zarr,0.031017597611445676,0.1979544231114301
2,S05_flat_branch_medium_C07__c1_mixed.zarr,2068,S05_flat_branch_medium,c1_mixed.zarr,0.12687549355093444,0.25263117899616244
2,S05_flat_branch_medium_C07__ellipse.zarr,2068,S05_flat_branch_medium,ellipse.zarr,0.06831010656985595,0.286225802842117
2,S05_flat_branch_medium_C07__rounded_rectangle.zarr,2068,S05_flat_branch_medium,rounded_rectangle.zarr,0.023271464793917788,0.2147541902573014
2,S06_3d_branch_medium_C07__c1_mixed.zarr,1676,S06_3d_branch_medium,c1_mixed.zarr,0.12043575458642347,0.2234524812452361
2,S06_3d_branch_medium_C07__ellipse.zarr,1676,S06_3d_branch_medium,ellipse.zarr,0.0637069820278283,0.2382562220290415
2,S06_3d_branch_medium_C07__rounded_rectangle.zarr,1676,S06_3d_branch_medium,rounded_rectangle.zarr,0.028299374419013642,0.1864956095591616
2,S07_flat_loop_rich_C07__c1_mixed.zarr,2678,S07_flat_loop_rich,c1_mixed.zarr,0.12796851416671443,0.22898969817458883
2,S07_flat_loop_rich_C07__ellipse.zarr,2678,S07_flat_loop_rich,ellipse.zarr,0.06102138698194248,0.2321299177358169
2,S07_flat_loop_rich_C07__rounded_rectangle.zarr,2678,S07_flat_loop_rich,rounded_rectangle.zarr,0.02437526215883804,0.17633506284301423
2,S08_3d_loop_rich_C07__c1_mixed.zarr,3458,S08_3d_loop_rich,c1_mixed.zarr,0.12645337495122902,0.28232984828451085
2,S08_3d_loop_rich_C07__ellipse.zarr,3458,S08_3d_loop_rich,ellipse.zarr,0.06579163482893317,0.33449147615893143
2,S08_3d_loop_rich_C07__rounded_rectangle.zarr,3458,S08_3d_loop_rich,rounded_rectangle.zarr,0.021874724486007305,0.2577153408036264
2,S09_flat_complex_C07__c1_mixed.zarr,3580,S09_flat_complex,c1_mixed.zarr,0.1281066497381368,0.24724759641588
2,S09_flat_complex_C07__ellipse.zarr,3580,S09_flat_complex,ellipse.zarr,0.05908793311845286,0.26946318092991006
2,S09_flat_complex_C07__rounded_rectangle.zarr,3580,S09_flat_complex,rounded_rectangle.zarr,0.023436792396739587,0.21049287052827473
2,S10_3d_complex_C07__c1_mixed.zarr,4122,S10_3d_complex,c1_mixed.zarr,0.12359794935528973,0.2565783592097029
2,S10_3d_complex_C07__ellipse.zarr,4122,S10_3d_complex,ellipse.zarr,0.06508461815957463,0.28251898056264374
2,S10_3d_complex_C07__rounded_rectangle.zarr,4122,S10_3d_complex,rounded_rectangle.zarr,0.026047812828758544,0.2191945735330287
