association_identity_teacher_only,partition,event,observations,distinct_traversals,full_visibility_rows,star_variants,canonical_exit_count
228,selection,terminal,17,2,17,1,1
229,selection,junction,46,6,46,1,3
230,selection,terminal,17,2,17,1,1
231,selection,terminal,17,2,17,1,1
262,fit,geometry_transition,17,2,17,1,2
263,fit,geometry_transition,16,2,16,1,2
264,fit,geometry_transition,3,2,3,1,2
265,fit,geometry_transition,6,2,6,1,2
266,fit,geometry_transition,4,2,4,1,2
267,fit,geometry_transition,2,1,2,1,2
268,fit,geometry_transition,4,2,4,1,2
269,fit,geometry_transition,7,2,7,1,2
270,fit,geometry_transition,3,2,3,1,2
271,fit,geometry_transition,4,2,4,1,2
272,fit,geometry_transition,15,2,15,1,2
273,fit,geometry_transition,1,1,1,1,2
274,fit,geometry_transition,11,2,11,1,2
275,fit,geometry_transition,1,1,1,1,2
276,fit,geometry_transition,6,2,6,1,2
277,fit,geometry_transition,4,2,4,1,2
278,fit,geometry_transition,5,2,5,1,2
279,fit,geometry_transition,4,2,4,1,2
280,fit,geometry_transition,6,2,6,1,2
281,fit,geometry_transition,2,2,2,1,2
282,fit,geometry_transition,2,2,2,1,2
283,fit,geometry_transition,1,1,1,1,2
284,fit,geometry_transition,14,2,14,1,2
285,fit,geometry_transition,3,2,3,1,2
286,fit,geometry_transition,7,2,7,1,2
287,fit,terminal,17,2,17,1,1
288,fit,terminal,17,2,17,1,1
289,fit,terminal,16,2,16,1,1
290,fit,junction,44,6,44,1,3
291,fit,junction,45,6,45,1,3
292,fit,terminal,17,2,17,1,1
293,fit,geometry_transition,6,2,6,1,2
294,fit,geometry_transition,6,2,6,1,2
295,fit,geometry_transition,2,1,2,1,2
296,fit,geometry_transition,6,2,6,1,2
297,fit,geometry_transition,3,2,3,1,2
298,fit,geometry_transition,4,2,4,1,2
299,fit,geometry_transition,1,1,1,1,2
300,fit,turn,6,2,6,1,2
301,fit,geometry_transition,1,1,1,1,2
302,fit,turn,1,1,1,1,2
303,fit,geometry_transition,1,1,1,1,2
304,fit,geometry_transition,5,2,5,1,2
305,fit,geometry_transition,2,2,2,1,2
306,fit,geometry_transition,9,2,9,1,2
307,fit,geometry_transition,1,1,1,1,2
308,fit,geometry_transition,1,1,1,1,2
309,fit,geometry_transition,4,2,4,1,2
310,fit,turn,3,2,3,1,2
311,fit,geometry_transition,8,2,8,1,2
312,fit,geometry_transition,1,1,1,1,2
313,fit,geometry_transition,1,1,1,1,2
314,fit,terminal,7,2,7,1,1
315,fit,junction,44,6,44,1,3
316,fit,terminal,17,2,17,1,1
317,fit,junction,48,6,48,1,3
318,fit,junction,45,6,45,1,3
319,fit,terminal,17,2,17,1,1
320,fit,terminal,14,2,14,1,1
321,fit,terminal,16,2,16,1,1
322,fit,geometry_transition,2,2,2,1,2
323,fit,geometry_transition,17,2,17,1,2
324,fit,geometry_transition,2,2,2,1,2
325,fit,geometry_transition,4,2,4,1,2
326,fit,geometry_transition,4,2,4,1,2
327,fit,geometry_transition,1,1,1,1,2
328,fit,geometry_transition,4,2,4,1,2
329,fit,geometry_transition,6,2,6,1,2
330,fit,turn,10,2,10,1,2
331,fit,geometry_transition,5,2,5,1,2
332,fit,geometry_transition,4,2,4,1,2
333,fit,turn,8,2,8,1,2
334,fit,turn,3,2,3,1,2
335,fit,geometry_transition,5,2,5,1,2
336,fit,geometry_transition,1,1,1,1,2
337,fit,geometry_transition,5,2,5,1,2
338,fit,geometry_transition,3,2,3,1,2
339,fit,geometry_transition,1,1,1,1,2
340,fit,geometry_transition,1,1,1,1,2
341,fit,geometry_transition,7,2,7,1,2
342,fit,terminal,17,2,17,1,1
343,fit,junction,51,6,51,1,3
344,fit,junction,51,6,51,1,3
345,fit,junction,51,6,51,1,3
346,fit,terminal,17,2,17,1,1
347,fit,terminal,15,2,15,1,1
348,fit,terminal,17,2,17,1,1
349,fit,terminal,17,2,17,1,1
350,fit,geometry_transition,9,2,9,1,2
351,fit,geometry_transition,3,2,3,1,2
352,fit,geometry_transition,2,2,2,1,2
353,fit,geometry_transition,8,2,8,1,2
354,fit,turn,4,2,4,1,2
355,fit,geometry_transition,3,2,3,1,2
356,fit,geometry_transition,4,2,4,1,2
357,fit,geometry_transition,5,2,5,1,2
358,fit,turn,5,2,5,1,2
359,fit,turn,2,2,2,1,2
360,fit,geometry_transition,6,2,6,1,2
361,fit,turn,5,2,5,1,2
362,fit,geometry_transition,2,2,2,1,2
363,fit,geometry_transition,6,2,6,1,2
364,fit,geometry_transition,3,1,3,1,2
365,fit,geometry_transition,4,2,4,1,2
366,fit,geometry_transition,3,1,3,1,2
367,fit,geometry_transition,4,2,4,1,2
368,fit,geometry_transition,3,2,3,1,2
369,fit,geometry_transition,3,2,3,1,2
370,fit,geometry_transition,7,2,7,1,2
371,fit,turn,3,2,3,1,2
372,fit,geometry_transition,1,1,1,1,2
373,fit,turn,13,2,13,1,2
374,fit,turn,3,2,3,1,2
375,fit,junction,39,6,39,1,3
376,fit,terminal,8,2,8,1,1
377,fit,terminal,17,2,17,1,1
378,fit,junction,37,6,37,1,3
379,fit,terminal,17,2,17,1,1
380,fit,terminal,17,2,17,1,1
381,fit,geometry_transition,9,2,9,1,2
382,fit,geometry_transition,7,2,7,1,2
383,fit,geometry_transition,14,2,14,1,2
384,fit,geometry_transition,1,1,1,1,2
385,fit,turn,4,2,4,1,2
386,fit,geometry_transition,2,2,2,1,2
387,fit,geometry_transition,2,2,2,1,2
388,fit,turn,5,2,5,1,2
389,fit,turn,1,1,1,1,2
390,fit,turn,1,1,1,1,2
391,fit,geometry_transition,1,1,1,1,2
392,fit,geometry_transition,7,2,7,1,2
393,fit,geometry_transition,6,2,6,1,2
394,fit,geometry_transition,4,2,4,1,2
395,fit,geometry_transition,5,2,5,1,2
396,fit,geometry_transition,4,2,4,1,2
397,fit,geometry_transition,6,2,6,1,2
398,fit,geometry_transition,6,2,6,1,2
399,fit,geometry_transition,3,2,3,1,2
400,fit,geometry_transition,4,2,4,1,2
401,fit,geometry_transition,8,2,8,1,2
402,fit,geometry_transition,9,2,9,1,2
403,fit,geometry_transition,3,2,3,1,2
404,fit,terminal,17,2,17,1,1
405,fit,terminal,5,2,5,1,1
406,fit,junction,51,6,51,1,3
407,fit,terminal,17,2,17,1,1
408,fit,junction,37,6,37,1,3
409,fit,junction,43,6,43,1,3
410,fit,terminal,16,2,16,1,1
411,fit,terminal,17,2,17,1,1
412,fit,turn,6,2,6,1,2
413,fit,geometry_transition,7,2,7,1,2
414,fit,turn,6,2,6,1,2
415,fit,geometry_transition,3,2,3,1,2
416,fit,geometry_transition,1,1,1,1,2
417,fit,geometry_transition,7,2,7,1,2
418,fit,geometry_transition,1,1,1,1,2
419,fit,geometry_transition,1,1,1,1,2
420,fit,geometry_transition,11,2,11,1,2
421,fit,turn,12,2,12,1,2
422,fit,geometry_transition,2,2,2,1,2
423,fit,turn,2,2,2,1,2
424,fit,geometry_transition,1,1,1,1,2
425,fit,geometry_transition,2,1,2,1,2
426,fit,geometry_transition,6,2,6,1,2
427,fit,geometry_transition,6,2,6,1,2
428,fit,geometry_transition,7,2,7,1,2
429,fit,geometry_transition,7,2,7,1,2
430,fit,geometry_transition,1,1,1,1,2
431,fit,geometry_transition,1,1,1,1,2
432,fit,geometry_transition,5,2,5,1,2
433,fit,geometry_transition,6,2,6,1,2
434,fit,geometry_transition,1,1,1,1,2
435,fit,geometry_transition,4,2,4,1,2
436,fit,geometry_transition,14,2,14,1,2
437,fit,geometry_transition,9,2,9,1,2
438,fit,geometry_transition,6,2,6,1,2
439,fit,geometry_transition,9,2,9,1,2
