event,probability_threshold,consensus_votes,stable_frames,release_frames,c07_precision,c07_recall,c07_f1,c07_predicted_commits
1,0.99,2,3,2,0.0,0.0,0.0,0
1,0.99,2,3,3,0.0,0.0,0.0,0
1,0.99,2,3,5,0.0,0.0,0.0,0
1,0.99,2,3,8,0.0,0.0,0.0,0
1,0.99,3,1,2,0.9792746113989638,0.4543269230769231,0.6206896551724138,193
1,0.99,3,1,3,0.9792746113989638,0.4543269230769231,0.6206896551724138,193
1,0.99,3,1,5,0.9792746113989638,0.4543269230769231,0.6206896551724138,193
1,0.99,3,1,8,0.9792746113989638,0.4543269230769231,0.6206896551724138,193
1,0.99,3,2,2,0.0,0.0,0.0,0
1,0.99,3,2,3,0.0,0.0,0.0,0
1,0.99,3,2,5,0.0,0.0,0.0,0
1,0.99,3,2,8,0.0,0.0,0.0,0
1,0.99,3,3,2,0.0,0.0,0.0,0
1,0.99,3,3,3,0.0,0.0,0.0,0
1,0.99,3,3,5,0.0,0.0,0.0,0
1,0.99,3,3,8,0.0,0.0,0.0,0
1,0.995,2,1,2,0.9893617021276596,0.44711538461538464,0.6158940397350994,188
1,0.995,2,1,3,0.9893617021276596,0.44711538461538464,0.6158940397350994,188
1,0.995,2,1,5,0.9893617021276596,0.44711538461538464,0.6158940397350994,188
1,0.995,2,1,8,0.9893617021276596,0.44711538461538464,0.6158940397350994,188
1,0.995,2,2,2,0.0,0.0,0.0,0
1,0.995,2,2,3,0.0,0.0,0.0,0
1,0.995,2,2,5,0.0,0.0,0.0,0
1,0.995,2,2,8,0.0,0.0,0.0,0
1,0.995,2,3,2,0.0,0.0,0.0,0
1,0.995,2,3,3,0.0,0.0,0.0,0
1,0.995,2,3,5,0.0,0.0,0.0,0
1,0.995,2,3,8,0.0,0.0,0.0,0
1,0.995,3,1,2,1.0,0.2644230769230769,0.41825095057034223,110
1,0.995,3,1,3,1.0,0.2644230769230769,0.41825095057034223,110
1,0.995,3,1,5,1.0,0.2644230769230769,0.41825095057034223,110
1,0.995,3,1,8,1.0,0.2644230769230769,0.41825095057034223,110
1,0.995,3,2,2,0.0,0.0,0.0,0
1,0.995,3,2,3,0.0,0.0,0.0,0
1,0.995,3,2,5,0.0,0.0,0.0,0
1,0.995,3,2,8,0.0,0.0,0.0,0
1,0.995,3,3,2,0.0,0.0,0.0,0
1,0.995,3,3,3,0.0,0.0,0.0,0
1,0.995,3,3,5,0.0,0.0,0.0,0
1,0.995,3,3,8,0.0,0.0,0.0,0
1,0.997,2,1,2,0.9850746268656716,0.15865384615384615,0.2732919254658385,67
1,0.997,2,1,3,0.9850746268656716,0.15865384615384615,0.2732919254658385,67
1,0.997,2,1,5,0.9850746268656716,0.15865384615384615,0.2732919254658385,67
1,0.997,2,1,8,0.9850746268656716,0.15865384615384615,0.2732919254658385,67
1,0.997,2,2,2,0.0,0.0,0.0,0
1,0.997,2,2,3,0.0,0.0,0.0,0
1,0.997,2,2,5,0.0,0.0,0.0,0
1,0.997,2,2,8,0.0,0.0,0.0,0
1,0.997,2,3,2,0.0,0.0,0.0,0
1,0.997,2,3,3,0.0,0.0,0.0,0
1,0.997,2,3,5,0.0,0.0,0.0,0
1,0.997,2,3,8,0.0,0.0,0.0,0
1,0.997,3,1,2,0.0,0.0,0.0,0
1,0.997,3,1,3,0.0,0.0,0.0,0
1,0.997,3,1,5,0.0,0.0,0.0,0
1,0.997,3,1,8,0.0,0.0,0.0,0
1,0.997,3,2,2,0.0,0.0,0.0,0
1,0.997,3,2,3,0.0,0.0,0.0,0
1,0.997,3,2,5,0.0,0.0,0.0,0
1,0.997,3,2,8,0.0,0.0,0.0,0
1,0.997,3,3,2,0.0,0.0,0.0,0
1,0.997,3,3,3,0.0,0.0,0.0,0
1,0.997,3,3,5,0.0,0.0,0.0,0
1,0.997,3,3,8,0.0,0.0,0.0,0
1,0.999,2,1,2,0.0,0.0,0.0,0
1,0.999,2,1,3,0.0,0.0,0.0,0
1,0.999,2,1,5,0.0,0.0,0.0,0
1,0.999,2,1,8,0.0,0.0,0.0,0
1,0.999,2,2,2,0.0,0.0,0.0,0
1,0.999,2,2,3,0.0,0.0,0.0,0
1,0.999,2,2,5,0.0,0.0,0.0,0
1,0.999,2,2,8,0.0,0.0,0.0,0
1,0.999,2,3,2,0.0,0.0,0.0,0
1,0.999,2,3,3,0.0,0.0,0.0,0
1,0.999,2,3,5,0.0,0.0,0.0,0
1,0.999,2,3,8,0.0,0.0,0.0,0
1,0.999,3,1,2,0.0,0.0,0.0,0
1,0.999,3,1,3,0.0,0.0,0.0,0
1,0.999,3,1,5,0.0,0.0,0.0,0
1,0.999,3,1,8,0.0,0.0,0.0,0
1,0.999,3,2,2,0.0,0.0,0.0,0
1,0.999,3,2,3,0.0,0.0,0.0,0
1,0.999,3,2,5,0.0,0.0,0.0,0
1,0.999,3,2,8,0.0,0.0,0.0,0
1,0.999,3,3,2,0.0,0.0,0.0,0
1,0.999,3,3,3,0.0,0.0,0.0,0
1,0.999,3,3,5,0.0,0.0,0.0,0
1,0.999,3,3,8,0.0,0.0,0.0,0
2,0.5,2,1,2,0.9,0.8461538461538461,0.8722466960352422,110
2,0.5,2,1,3,0.9,0.8461538461538461,0.8722466960352422,110
2,0.5,2,1,5,0.9,0.8461538461538461,0.8722466960352422,110
2,0.5,2,1,8,0.9,0.8461538461538461,0.8722466960352422,110
2,0.5,2,2,2,1.0,0.03418803418803419,0.06611570247933884,4
2,0.5,2,2,3,1.0,0.03418803418803419,0.06611570247933884,4
2,0.5,2,2,5,1.0,0.03418803418803419,0.06611570247933884,4
2,0.5,2,2,8,1.0,0.03418803418803419,0.06611570247933884,4
2,0.5,2,3,2,0.0,0.0,0.0,0
2,0.5,2,3,3,0.0,0.0,0.0,0
2,0.5,2,3,5,0.0,0.0,0.0,0
2,0.5,2,3,8,0.0,0.0,0.0,0
2,0.5,3,1,2,0.9302325581395349,0.6837606837606838,0.7881773399014778,86
