event,probability_threshold,consensus_votes,stable_frames,release_frames,c07_precision,c07_recall,c07_f1,c07_predicted_commits
1,0.95,3,2,5,1.0,0.06009615384615385,0.11337868480725626,25
1,0.95,3,2,8,1.0,0.06009615384615385,0.11337868480725626,25
1,0.95,3,3,2,1.0,0.01201923076923077,0.023752969121140142,5
1,0.95,3,3,3,1.0,0.01201923076923077,0.023752969121140142,5
1,0.95,3,3,5,1.0,0.01201923076923077,0.023752969121140142,5
1,0.95,3,3,8,1.0,0.01201923076923077,0.023752969121140142,5
1,0.97,2,1,2,0.9188405797101449,0.7620192307692307,0.8331143232588699,345
1,0.97,2,1,3,0.924198250728863,0.7620192307692307,0.8353096179183136,343
1,0.97,2,1,5,0.9266862170087976,0.7596153846153846,0.8348745046235138,341
1,0.97,2,1,8,0.9266862170087976,0.7596153846153846,0.8348745046235138,341
1,0.97,2,2,2,0.975,0.46875,0.6331168831168831,200
1,0.97,2,2,3,0.975,0.46875,0.6331168831168831,200
1,0.97,2,2,5,0.975,0.46875,0.6331168831168831,200
1,0.97,2,2,8,0.975,0.46875,0.6331168831168831,200
1,0.97,2,3,2,1.0,0.18269230769230768,0.30894308943089427,76
1,0.97,2,3,3,1.0,0.18269230769230768,0.30894308943089427,76
1,0.97,2,3,5,1.0,0.18269230769230768,0.30894308943089427,76
1,0.97,2,3,8,1.0,0.18269230769230768,0.30894308943089427,76
1,0.97,3,1,2,0.961038961038961,0.1778846153846154,0.3002028397565923,77
1,0.97,3,1,3,0.961038961038961,0.1778846153846154,0.3002028397565923,77
1,0.97,3,1,5,0.961038961038961,0.1778846153846154,0.3002028397565923,77
1,0.97,3,1,8,0.961038961038961,0.1778846153846154,0.3002028397565923,77
1,0.97,3,2,2,1.0,0.03365384615384615,0.06511627906976743,14
1,0.97,3,2,3,1.0,0.03365384615384615,0.06511627906976743,14
1,0.97,3,2,5,1.0,0.03365384615384615,0.06511627906976743,14
1,0.97,3,2,8,1.0,0.03365384615384615,0.06511627906976743,14
1,0.97,3,3,2,0.0,0.0,0.0,0
1,0.97,3,3,3,0.0,0.0,0.0,0
1,0.97,3,3,5,0.0,0.0,0.0,0
1,0.97,3,3,8,0.0,0.0,0.0,0
1,0.98,2,1,2,0.9290123456790124,0.7235576923076923,0.8135135135135134,324
1,0.98,2,1,3,0.9318885448916409,0.7235576923076923,0.8146143437077131,323
1,0.98,2,1,5,0.9347826086956522,0.7235576923076923,0.8157181571815719,322
1,0.98,2,1,8,0.9347826086956522,0.7235576923076923,0.8157181571815719,322
1,0.98,2,2,2,0.9821428571428571,0.39663461538461536,0.565068493150685,168
1,0.98,2,2,3,0.9821428571428571,0.39663461538461536,0.565068493150685,168
1,0.98,2,2,5,0.9821428571428571,0.39663461538461536,0.565068493150685,168
1,0.98,2,2,8,0.9821428571428571,0.39663461538461536,0.565068493150685,168
1,0.98,2,3,2,1.0,0.13221153846153846,0.2335456475583864,55
1,0.98,2,3,3,1.0,0.13221153846153846,0.2335456475583864,55
1,0.98,2,3,5,1.0,0.13221153846153846,0.2335456475583864,55
1,0.98,2,3,8,1.0,0.13221153846153846,0.2335456475583864,55
1,0.98,3,1,2,0.9482758620689655,0.13221153846153846,0.23206751054852318,58
1,0.98,3,1,3,0.9482758620689655,0.13221153846153846,0.23206751054852318,58
1,0.98,3,1,5,0.9482758620689655,0.13221153846153846,0.23206751054852318,58
1,0.98,3,1,8,0.9482758620689655,0.13221153846153846,0.23206751054852318,58
