source,mode,event,probe_iterations,transfer_prevalence,transfer_ap_over_prevalence,fit_roc_auc,fit_average_precision,fit_threshold,fit_precision,fit_recall,transfer_roc_auc,transfer_average_precision,transfer_precision,transfer_recall,transfer_false_positive_rate,transfer_identity_covered,transfer_identity_total
seed1,explicit_probe,terminal,15,0.04402721980814955,21.94003389300145,0.9999994618795471,0.9999876432491539,0.9452177298016301,0.9977827050997783,1.0,0.994754624350387,0.9659586948054257,0.9527410207939508,0.9385474860335196,0.002144082332761578,69,69
seed1,train_free,turn,0,0.009715503812412889,0.9595826564224997,0.46536160541929955,0.012703479892136976,,,0.0,0.3690631206651146,0.009322828956798083,0.0,0.0,0.0,0,52
seed1,independent_head,turn,0,0.009715503812412889,16.311724763861733,0.9205830890229962,0.24084074933569236,,,0.0,0.8743453732431428,0.1584766241303284,0.0,0.0,0.0,0,52
seed1,explicit_probe,turn,32,0.009715503812412889,9.244499872247083,0.9971107427287025,0.7447581742656932,0.999953516290387,1.0,0.04659498207885305,0.7170885813950199,0.08981497375266699,0.15,0.0379746835443038,0.00211118930330753,7,52
seed1,train_free,geometry_transition,0,0.007091907846191687,1.2734648208022092,0.7197822164259009,0.006728211627785238,,,0.0,0.6323163890886259,0.009031295154496279,0.0,0.0,0.0,0,12
seed1,independent_head,geometry_transition,0,0.007091907846191687,2.6204233338219383,0.6960590650397748,0.005271922454206989,,,0.0,0.8249992303530616,0.01858380080147558,0.0,0.0,0.0,0,12
seed1,explicit_probe,geometry_transition,15,0.007091907846191687,1.861179714510026,0.9997880806849788,0.8670471773197914,0.9999998200952498,1.0,0.014925373134328358,0.7014354571690882,0.013199315020506457,0.0,0.0,0.0008670162255893646,0,12
seed2,train_free,junction,0,0.1506927933098303,6.155867243345987,0.9786609787091709,0.9420827422868613,2.9636728763580322,0.980244590780809,0.6534963938538727,0.9707307248137879,0.9276448301442916,0.97724399494311,0.6308487486398259,0.0026064291920069507,71,77
seed2,independent_head,junction,0,0.1506927933098303,6.2213351329201405,0.9799206023907246,0.9452066112031833,0.9477454423904419,0.9805776892430279,0.6174349325807463,0.9724094743013099,0.9375103692963203,0.979762428508579,0.6058215451577802,0.0022202915339318468,70,77
seed2,explicit_probe,junction,79,0.1506927933098303,5.79927108622942,0.9938415816761862,0.9668394577108409,0.9971792700938855,0.9802371541501976,0.6221386014424585,0.950949317226477,0.873908359144845,0.9353254195661073,0.6215995647442872,0.0076262187469833,74,77
seed2,train_free,terminal,0,0.04402721980814955,22.587043136404688,0.9865777691678506,0.9812706855922233,-0.39613932371139526,0.9801633605600933,0.9333333333333333,0.9990162774578291,0.9944447129826447,0.9722753346080306,0.946927374301676,0.0012435677530017153,68,69
seed2,independent_head,terminal,0,0.04402721980814955,22.606626769774145,0.9996183111627707,0.992641010113591,0.889324963092804,0.9800936768149883,0.93,0.9997770873060743,0.995306925913644,0.9722222222222222,0.9450651769087524,0.0012435677530017153,68,69
seed2,explicit_probe,terminal,16,0.04402721980814955,21.829945220164763,1.0,1.0,0.9141764184843845,1.0,1.0,0.9951662721874591,0.9611117966080576,0.9422018348623853,0.9562383612662942,0.0027015437392795883,69,69
seed2,train_free,turn,0,0.009715503812412889,0.8940324549085628,0.45225116872099685,0.012084632834825772,,,0.0,0.3627258847668269,0.008685975724084995,0.0,0.0,0.0,0,52
seed2,independent_head,turn,0,0.009715503812412889,7.033676598246695,0.9231890659517419,0.20656179398168162,0.881295382976532,1.0,0.0035842293906810036,0.8566296881039627,0.06833571180554508,0.0,0.0,4.139586869230451e-05,0,52
seed2,explicit_probe,turn,19,0.009715503812412889,7.27918690461395,0.9960150325637579,0.6313279362418692,0.9999930520206102,1.0,0.021505376344086023,0.6919729917283369,0.07072096812304281,0.08333333333333333,0.008438818565400843,0.0009107091112306991,2,52
seed2,train_free,geometry_transition,0,0.007091907846191687,1.4410106721501836,0.7029648554397604,0.005331125609637369,,,0.0,0.68518266168015,0.010219514892267844,0.0,0.0,0.0,0,12
