environment,false_merge_rate_delta_median,false_merge_rate_delta_p90,false_split_rate_delta_median,false_split_rate_delta_p90,feature_drift_median_median,feature_drift_median_p90,graph_edge_change_rate_median,graph_edge_change_rate_p90,method,node_count_delta_median,node_count_delta_p90,node_id_retention_median,node_id_retention_p90,node_match_consistency_median,node_match_consistency_p90,perturbation
perlin2,0.0,0.0,-0.006343666029529849,0.009276885631630916,0.009922206401824951,0.010941922664642334,0.02912621359223301,0.02912621359223301,new_multienv_64,-2.0,-0.3999999999999999,0.9523809523809523,0.9561904761904763,0.9523809523809523,0.9561904761904763,rotation
perlin2,0.0,0.0,0.0,0.0,0.029892444610595703,0.0356050968170166,0.005,0.013000000000000001,new_multienv_128,1.0,2.6,0.9362745098039216,0.9441176470588235,0.9362745098039216,0.9441176470588235,sector_occlusion
perlin2,0.0,0.0,0.0,0.0,0.014085054397583008,0.014144229888916015,0.015,0.019,new_multienv_128,3.0,3.8,0.9607843137254902,0.9725490196078431,0.9607843137254902,0.9725490196078431,random_drop
perlin2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new_multienv_128,0.0,0.0,1.0,1.0,1.0,1.0,density_drop
perlin2,0.0,0.0,0.0,0.0,0.011818408966064453,0.011867761611938477,0.035,0.047,new_multienv_128,7.0,9.4,0.9607843137254902,0.9647058823529412,0.9607843137254902,0.9647058823529412,translation
perlin2,0.0,0.0,0.0,0.0,0.011141180992126465,0.011160159111022949,0.025,0.037000000000000005,new_multienv_128,5.0,7.4,0.9607843137254902,0.9725490196078431,0.9607843137254902,0.9725490196078431,rotation
ku,0.0,0.0,0.0,0.0,0.0925566554069519,0.0933580756187439,0.13683223992502344,0.13983130271790067,input_geometry,146.0,149.2,0.803921568627451,0.8046685340802988,0.803921568627451,0.8046685340802988,sector_occlusion
ku,0.0,0.0,0.0,0.0,0.07697826623916626,0.07715874910354614,0.11527647610121837,0.11752577319587629,input_geometry,123.0,125.4,0.8151260504201681,0.8218487394957983,0.8151260504201681,0.8218487394957983,random_drop
ku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,input_geometry,0.0,0.0,1.0,1.0,1.0,1.0,density_drop
ku,0.0,0.0,0.0,0.0,0.07434773445129395,0.07446980476379395,0.004686035613870665,0.007685098406747892,input_geometry,5.0,8.2,0.8664799253034547,0.8776844070961718,0.8664799253034547,0.8776844070961718,translation
ku,0.0,0.0,0.0,0.0,0.05046766996383667,0.05086110830307007,0.0009372071227741331,0.002436738519212746,input_geometry,1.0,1.0,0.8562091503267973,0.8726423902894491,0.8562091503267973,0.8726423902894491,rotation
ku,0.0,0.0,0.0137987012987012,0.018344155844155784,0.17174410820007324,0.1738255500793457,0.058165548098434,0.06711409395973154,old_tunnel_64,53.0,60.2,0.7405345211581291,0.7414253897550112,0.7405345211581291,0.7414253897550112,sector_occlusion
ku,0.0,0.0,0.013492495528423576,0.01828291469010026,0.1123741865158081,0.1149402379989624,0.03691275167785235,0.03691275167785235,old_tunnel_64,33.0,33.0,0.77728285077951,0.7817371937639198,0.77728285077951,0.7817371937639198,random_drop
ku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_tunnel_64,0.0,0.0,1.0,1.0,1.0,1.0,density_drop
ku,0.0,0.0,0.01228627487620293,0.012913465431451021,0.018210649490356445,0.01840524673461914,0.007829977628635347,0.015883668903803133,old_tunnel_64,-6.0,1.2000000000000004,0.8262806236080178,0.8414253897550111,0.8262806236080178,0.8414253897550111,translation
ku,0.0,0.0,-0.001209135691894403,0.004308105687415954,0.01735478639602661,0.017500650882720948,0.0044742729306487695,0.008053691275167786,old_tunnel_64,-4.0,-1.5999999999999999,0.8418708240534521,0.8525612472160357,0.8418708240534521,0.8525612472160357,rotation
ku,0.0,0.0,0.16122602887308768,0.16155059881791084,0.16189610958099365,0.1637787103652954,0.21548387096774194,0.22993548387096774,new_multienv_64,167.0,179.0,0.7406931964056482,0.7509627727856225,0.7406931964056482,0.7509627727856225,sector_occlusion
ku,0.0,0.0,0.11827731092436977,0.1308196838057257,0.047589898109436035,0.04790213108062744,0.02838709677419355,0.030451612903225806,new_multienv_64,22.0,23.6,0.7086007702182285,0.7188703465982028,0.7086007702182285,0.7188703465982028,random_drop
ku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new_multienv_64,0.0,0.0,1.0,1.0,1.0,1.0,density_drop
ku,0.0,0.0,0.058661926308985146,0.06338393697158984,0.005658388137817383,0.005786085128784179,0.00903225806451613,0.014193548387096775,new_multienv_64,-7.0,-3.8,0.8112965340179717,0.8277278562259307,0.8112965340179717,0.8277278562259307,translation
ku,0.0,0.0,0.00236822001527881,0.012238349885408662,0.00504148006439209,0.005190539360046387,0.00903225806451613,0.010064516129032258,new_multienv_64,-7.0,-7.0,0.8318356867779204,0.8585365853658536,0.8318356867779204,0.8585365853658536,rotation
ku,0.0,0.0,0.0,0.0,0.16521602869033813,0.16540085077285765,0.23259762308998302,0.23803056027164687,new_multienv_128,137.0,140.2,0.6172006745362564,0.6225969645868465,0.6172006745362564,0.6225969645868465,sector_occlusion
ku,0.0,0.0,0.0,0.0,0.03949403762817383,0.03970856666564941,0.003395585738539898,0.006112054329371817,new_multienv_128,0.0,3.2,0.6104553119730185,0.6212478920741991,0.6104553119730185,0.6212478920741991,random_drop
ku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new_multienv_128,0.0,0.0,1.0,1.0,1.0,1.0,density_drop
ku,0.0,0.0,0.0,0.0,0.005070686340332031,0.005088996887207031,0.0050933786078098476,0.007809847198641766,new_multienv_128,-3.0,1.0000000000000002,0.806070826306914,0.8411467116357504,0.806070826306914,0.8411467116357504,translation
ku,0.0,0.0,0.0,0.0,0.004470944404602051,0.004521918296813965,0.008488964346349746,0.013921901528013583,new_multienv_128,-5.0,-3.4,0.8381112984822934,0.8448566610455313,0.8381112984822934,0.8448566610455313,rotation
campus,0.0,0.0,0.0,0.0,0.09293264150619507,0.09603732824325562,0.3333333333333333,0.35873015873015873,input_geometry,21.0,22.6,0.5,0.5125,0.5,0.5125,sector_occlusion
campus,0.0,0.0,0.0,0.0,0.006732434034347534,0.006829684972763062,0.015873015873015872,0.02857142857142857,input_geometry,1.0,1.8,0.796875,0.859375,0.796875,0.859375,random_drop
campus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,input_geometry,0.0,0.0,1.0,1.0,1.0,1.0,density_drop
campus,0.0,0.0,0.0,0.0,0.021007388830184937,0.02124616503715515,0.015873015873015872,0.015873015873015872,input_geometry,1.0,1.0,0.546875,0.546875,0.546875,0.546875,translation
campus,0.0,0.0,0.0,0.0,0.011189818382263184,0.011374378204345703,0.0,0.0,input_geometry,0.0,0.0,0.609375,0.771875,0.609375,0.771875,rotation
campus,0.0,0.0,0.0,0.0,0.18870285153388977,0.19069047570228576,0.1527777777777778,0.1638888888888889,old_tunnel_64,11.0,11.8,0.5068493150684932,0.5068493150684932,0.5068493150684932,0.5068493150684932,sector_occlusion
campus,0.0,0.0,-0.1428571428571429,-0.028571428571428574,0.016523391008377075,0.017109876871109007,0.013888888888888888,0.03611111111111111,old_tunnel_64,-1.0,-0.19999999999999996,0.5616438356164384,0.5945205479452055,0.5616438356164384,0.5945205479452055,random_drop
campus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_tunnel_64,0.0,0.0,1.0,1.0,1.0,1.0,density_drop
campus,0.0,0.0,0.0,0.0,0.014252990484237671,0.014343971014022827,0.0,0.022222222222222223,old_tunnel_64,0.0,0.0,0.6712328767123288,0.6821917808219178,0.6712328767123288,0.6821917808219178,translation
campus,0.0,0.0,0.0,0.0,0.009874492883682251,0.010377007722854614,0.013888888888888888,0.024999999999999998,old_tunnel_64,-1.0,0.6000000000000001,0.7123287671232876,0.7561643835616438,0.7123287671232876,0.7561643835616438,rotation
