threshold,region,selection,tp,fp,fn,ignored,output_count,precision,recall,f1
2.8277384307084515e-17,fixed,before,12,168,0,313,493,0.06666666666666667,1.0,0.125
2.8277384307084515e-17,fixed,after,12,155,0,251,418,0.0718562874251497,1.0,0.1340782122905028
2.9016953257878376e-17,old,before,12,152,0,328,492,0.07317073170731707,1.0,0.13636363636363635
2.9016953257878376e-17,old,after,12,140,0,265,417,0.07894736842105263,1.0,0.14634146341463414
2.9016953257878376e-17,fixed,before,12,168,0,312,492,0.06666666666666667,1.0,0.125
2.9016953257878376e-17,fixed,after,12,155,0,250,417,0.0718562874251497,1.0,0.1340782122905028
3.7468164932104054e-17,old,before,12,152,0,327,491,0.07317073170731707,1.0,0.13636363636363635
3.7468164932104054e-17,old,after,12,140,0,264,416,0.07894736842105263,1.0,0.14634146341463414
3.7468164932104054e-17,fixed,before,12,168,0,311,491,0.06666666666666667,1.0,0.125
3.7468164932104054e-17,fixed,after,12,155,0,249,416,0.0718562874251497,1.0,0.1340782122905028
3.778710261524735e-17,old,before,12,152,0,326,490,0.07317073170731707,1.0,0.13636363636363635
3.778710261524735e-17,old,after,12,140,0,263,415,0.07894736842105263,1.0,0.14634146341463414
3.778710261524735e-17,fixed,before,12,168,0,310,490,0.06666666666666667,1.0,0.125
3.778710261524735e-17,fixed,after,12,155,0,248,415,0.0718562874251497,1.0,0.1340782122905028
3.98750719174537e-17,old,before,12,152,0,325,489,0.07317073170731707,1.0,0.13636363636363635
3.98750719174537e-17,old,after,12,140,0,262,414,0.07894736842105263,1.0,0.14634146341463414
3.98750719174537e-17,fixed,before,12,168,0,309,489,0.06666666666666667,1.0,0.125
3.98750719174537e-17,fixed,after,12,155,0,247,414,0.0718562874251497,1.0,0.1340782122905028
4.630885625211155e-17,old,before,12,152,0,324,488,0.07317073170731707,1.0,0.13636363636363635
4.630885625211155e-17,old,after,12,140,0,262,414,0.07894736842105263,1.0,0.14634146341463414
4.630885625211155e-17,fixed,before,12,168,0,308,488,0.06666666666666667,1.0,0.125
4.630885625211155e-17,fixed,after,12,155,0,247,414,0.0718562874251497,1.0,0.1340782122905028
5.0555283879603574e-17,old,before,12,152,0,323,487,0.07317073170731707,1.0,0.13636363636363635
5.0555283879603574e-17,old,after,12,140,0,261,413,0.07894736842105263,1.0,0.14634146341463414
5.0555283879603574e-17,fixed,before,12,168,0,307,487,0.06666666666666667,1.0,0.125
5.0555283879603574e-17,fixed,after,12,155,0,246,413,0.0718562874251497,1.0,0.1340782122905028
7.55274132776038e-17,old,before,12,152,0,322,486,0.07317073170731707,1.0,0.13636363636363635
7.55274132776038e-17,old,after,12,140,0,260,412,0.07894736842105263,1.0,0.14634146341463414
7.55274132776038e-17,fixed,before,12,168,0,306,486,0.06666666666666667,1.0,0.125
