section,identity,residual_scale,worst_parent_relative_improvement,mean_parent_relative_improvement,raw_relative_improvement,risk_calibrated_relative_improvement
selection_curve,C07-C08,0.49,0.1986764958021449,0.34896190654898357,,
selection_curve,C07-C08,0.5,0.20221258722418736,0.3554809758905333,,
selection_curve,C07-C08,0.51,0.205189436267987,0.36196415389803904,,
selection_curve,C07-C08,0.52,0.20785022867288516,0.36841036684941375,,
selection_curve,C07-C08,0.53,0.21046969625001619,0.37481729892412846,,
selection_curve,C07-C08,0.54,0.21302058582469774,0.38118196896146994,,
selection_curve,C07-C08,0.55,0.21551710162278925,0.38750530828254,,
selection_curve,C07-C08,0.56,0.2179290170516618,0.39378536424929533,,
selection_curve,C07-C08,0.57,0.22024833986689843,0.40002095368573853,,
selection_curve,C07-C08,0.58,0.22246929368331636,0.40621157865401686,,
selection_curve,C07-C08,0.59,0.2246243209527786,0.41235717234837266,,
selection_curve,C07-C08,0.6,0.22670565669848186,0.4184564830031752,,
selection_curve,C07-C08,0.61,0.2287267097096376,0.42451002122426684,,
selection_curve,C07-C08,0.62,0.2306883133008295,0.43051382790507925,,
selection_curve,C07-C08,0.63,0.2325947476787833,0.4364625483413917,,
selection_curve,C07-C08,0.64,0.23440493422231334,0.44235364998387705,,
selection_curve,C07-C08,0.65,0.23614243300737855,0.44818726358599303,,
selection_curve,C07-C08,0.66,0.23774207504573572,0.4539547880401288,,
selection_curve,C07-C08,0.67,0.2392755822084912,0.45965925272321717,,
selection_curve,C07-C08,0.68,0.24073020857030716,0.46530047971378075,,
selection_curve,C07-C08,0.69,0.24211493120192673,0.4708789983889998,,
selection_curve,C07-C08,0.7,0.24341365198070922,0.4763926491356278,,
selection_curve,C07-C08,0.71,0.24462292401451272,0.4818347620829419,,
selection_curve,C07-C08,0.72,0.24575047440220474,0.4872091238398199,,
selection_curve,C07-C08,0.73,0.24681613224308516,0.4925183841529896,,
selection_curve,C07-C08,0.74,0.24781503022242604,0.4977549342127829,,
selection_curve,C07-C08,0.75,0.2487557287536788,0.5029135526175074,,
selection_curve,C07-C08,0.76,0.24962586069086176,0.5079941035581451,,
selection_curve,C07-C08,0.77,0.2504400279781584,0.5130011228101938,,
selection_curve,C07-C08,0.78,0.2511854089343596,0.5179215736417757,,
selection_curve,C07-C08,0.79,0.2518698632311076,0.5227428160123913,,
selection_curve,C07-C08,0.8,0.25251554946074317,0.527459827239549,,
selection_curve,C07-C08,0.81,0.2530951386927127,0.5320713834095603,,
selection_curve,C07-C08,0.82,0.25360342271086783,0.5365806630146366,,
selection_curve,C07-C08,0.83,0.2540551170931987,0.5409775724363519,,
selection_curve,C07-C08,0.84,0.2544263776792295,0.5452559933338785,,
selection_curve,C07-C08,0.85,0.25473074583094607,0.5494165562810294,,
selection_curve,C07-C08,0.86,0.2549367260448761,0.5534514161968034,,
selection_curve,C07-C08,0.87,0.25507581382449196,0.5573620319715074,,
selection_curve,C07-C08,0.88,0.2551338806998054,0.5611294215318693,,
selection_curve,C07-C08,0.89,0.2551540696394938,0.5647461889026556,,
selection_curve,C07-C08,0.9,0.25512128628621006,0.5682108550597263,,
selection_curve,C07-C08,0.91,0.255033257963817,0.5715071529157804,,
selection_curve,C07-C08,0.92,0.25490269271971683,0.5746206056989243,,
selection_curve,C07-C08,0.93,0.2547208975676835,0.5775407929825611,,
selection_curve,C07-C08,0.94,0.2544774371364523,0.58024488639419,,
