seed,task,rows,topology_family,geometry_family,deployed_attachment_f1,proposal_oracle_attachment_f1
2,S07_flat_loop_rich_C07__ellipse.zarr,2678,S07_flat_loop_rich,ellipse.zarr,0.014292429516527132,0.15100654784148698
2,S07_flat_loop_rich_C07__rounded_rectangle.zarr,2678,S07_flat_loop_rich,rounded_rectangle.zarr,0.15397831805257797,0.1987751977545292
2,S08_3d_loop_rich_C07__c1_mixed.zarr,3458,S08_3d_loop_rich,c1_mixed.zarr,0.0234555180697766,0.20652008008691045
2,S08_3d_loop_rich_C07__ellipse.zarr,3458,S08_3d_loop_rich,ellipse.zarr,0.011624288604276688,0.1967737870195337
2,S08_3d_loop_rich_C07__rounded_rectangle.zarr,3458,S08_3d_loop_rich,rounded_rectangle.zarr,0.14370421088668264,0.24897105108428735
2,S09_flat_complex_C07__c1_mixed.zarr,3580,S09_flat_complex,c1_mixed.zarr,0.028485972742585384,0.17377396760811084
2,S09_flat_complex_C07__ellipse.zarr,3580,S09_flat_complex,ellipse.zarr,0.012592899984315306,0.16399580520189633
2,S09_flat_complex_C07__rounded_rectangle.zarr,3580,S09_flat_complex,rounded_rectangle.zarr,0.15701885977456995,0.22446408157475323
2,S10_3d_complex_C07__c1_mixed.zarr,4122,S10_3d_complex,c1_mixed.zarr,0.02673657404630864,0.18188665478018842
2,S10_3d_complex_C07__ellipse.zarr,4122,S10_3d_complex,ellipse.zarr,0.012871402017300531,0.18260384278083394
2,S10_3d_complex_C07__rounded_rectangle.zarr,4122,S10_3d_complex,rounded_rectangle.zarr,0.15727179252827603,0.23011553776780222
